ndvi,lat,lon,alt,acs,species,UNIQ_ID
111,-9.5167,-78.0083,740,LA2580,S. pennellii,1
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,2
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,3
105,-20.4833,-69.9833,1020,LA2748,S. chilense,4
106,-20.9167,-69.0667,2460,LA2931,S. chilense,5
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,6
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,7
112,-16.1383,-73.6428,480,LA3788,S. pennellii,8
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,9
123,-10.15,-77.35,3540,LA3795,S. peruvianum,10
115,-18.2667,-69.5833,3260,LA2773,S. chilense,11
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,12
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,13
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,14
118,-14.3833,-74.8167,2940,LA1928,S. habrochaites,15
106,-14.4492,-75.2203,620,LA1912,S. pennellii,16
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,17
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,18
100,-17.25,-71.25,1336,LA1958,S. chilense,19
108,-23.6833,-68.0667,2390,LA2884,S. chilense,20
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,21
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,22
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,23
124,-7.18,-78.52,1340,LA2167,S. habrochaites,24
102,-8.66,-78.29,480,LA2560,S. pennellii,25
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,26
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,27
124,-17.5333,-70.0333,3015,LA1969,S. chilense,28
107,-25.4,-70.4,660,LA2891,S. chilense,29
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,30
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,31
127,-12.45,-75.925,3540,LA1691,S. habrochaites,32
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,33
111,-9.5167,-78.0083,740,LA2580,S. pennellii,34
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,35
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,36
105,-20.4833,-69.9833,1020,LA2748,S. chilense,37
106,-20.9167,-69.0667,2460,LA2931,S. chilense,38
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,39
111,-11.5667,-76.73,1840,LA361,S. habrochaites,40
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,41
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,42
112,-16.1383,-73.6428,480,LA3788,S. pennellii,43
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,44
123,-10.15,-77.35,3540,LA3795,S. peruvianum,45
115,-18.2667,-69.5833,3260,LA2773,S. chilense,46
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,47
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,48
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,49
118,-14.3833,-74.8167,2940,LA1928,S. habrochaites,50
106,-14.4492,-75.2203,620,LA1912,S. pennellii,51
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,52
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,53
100,-17.25,-71.25,1336,LA1958,S. chilense,54
108,-23.6833,-68.0667,2390,LA2884,S. chilense,55
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,56
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,57
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,58
124,-7.18,-78.52,1340,LA2167,S. habrochaites,59
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,60
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,61
124,-17.5333,-70.0333,3015,LA1969,S. chilense,62
107,-25.4,-70.4,660,LA2891,S. chilense,63
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,64
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,65
127,-12.45,-75.925,3540,LA1691,S. habrochaites,66
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,67
111,-9.5167,-78.0083,740,LA2580,S. pennellii,68
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,69
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,70
105,-20.4833,-69.9833,1020,LA2748,S. chilense,71
106,-20.9167,-69.0667,2460,LA2931,S. chilense,72
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,73
111,-11.5667,-76.73,1840,LA361,S. habrochaites,74
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,75
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,76
112,-16.1383,-73.6428,480,LA3788,S. pennellii,77
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,78
123,-10.15,-77.35,3540,LA3795,S. peruvianum,79
115,-18.2667,-69.5833,3260,LA2773,S. chilense,80
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,81
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,82
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,83
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,84
100,-17.25,-71.25,1336,LA1958,S. chilense,85
108,-23.6833,-68.0667,2390,LA2884,S. chilense,86
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,87
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,88
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,89
102,-8.66,-78.29,480,LA2560,S. pennellii,90
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,91
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,92
124,-17.5333,-70.0333,3015,LA1969,S. chilense,93
107,-25.4,-70.4,660,LA2891,S. chilense,94
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,95
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,96
127,-12.45,-75.925,3540,LA1691,S. habrochaites,97
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,98
111,-9.5167,-78.0083,740,LA2580,S. pennellii,99
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,100
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,101
105,-20.4833,-69.9833,1020,LA2748,S. chilense,102
106,-20.9167,-69.0667,2460,LA2931,S. chilense,103
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,104
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,105
112,-16.1383,-73.6428,480,LA3788,S. pennellii,106
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,107
123,-10.15,-77.35,3540,LA3795,S. peruvianum,108
